From,To
1416677_at,11818
1420881_at,18193
1421424_a_at,16790
1424533_a_at,67291
1426129_at,107392
1452008_at,69863
1433798_a_at,105418
1428128_at,382423
1419188_s_at,100039939
1419188_s_at,100039193
1419188_s_at,100040048
1419188_s_at,100039863
1419188_s_at,20301
1438980_x_at,212933
1449731_s_at,18035
1427147_at,212377
1448370_at,22241
1422641_at,76829
1418928_a_at,67099
1434180_at,218952
1451058_at,66405
1422142_at,54631
1448812_at,53602
1417698_at,98053
1455628_at,54357
1417630_at,17346
1460258_at,16840
1425127_at,15493
1418964_at,67556
1426852_x_at,18133
1449135_at,20672
1448957_at,19664
1424674_at,106957
1418448_at,20130
1435174_at,100045795
1435174_at,100048820
1435174_at,229675
1450825_at,171168
1421534_at,14210
1416222_at,18194
1451942_x_at,93967
1416747_at,106073
1429708_at,69875
1425245_a_at,50782
1425245_a_at,100048881
1419402_at,17427
1417146_at,67873
1422159_at,19023
1453733_a_at,630594
1453733_a_at,624180
1453733_a_at,99650
1453733_a_at,665503
1453733_a_at,665415
1428609_at,621579
1428609_at,100040496
1428609_at,67938
1428609_at,100048581
1427727_x_at,26439
1418686_at,114643
1426629_at,217207
1449455_at,15162
1449540_at,104384
1419536_a_at,19697
1450298_at,50930
1418464_at,17183
1427709_at,14807
1424221_at,96935
1448417_at,18081
1454047_a_at,103268
1416565_at,110323
1450567_a_at,12824
1423781_at,234664
1423781_at,100047393
1416604_at,66445
1448420_a_at,30843
1451859_at,16700
1451859_at,100048365
1451859_at,100040214
