Symbol,Affi_ID
Higd1a /// LOC100042265 /// LOC100045763,1416480_a_at
Higd1a,1416481_s_at
Angel2,1448360_s_at
LOC100044179,1460185_at
Ttc3,1448361_at
Dnajc7,1448362_at
LOC100039174 /// LOC100041219 /// LOC100043675 /// LOC100044453 /// LOC100047985 /// Timm23,1416485_at
Scye1,1416486_at
Yap1,1448363_at
Ccng2,1416488_at
Tssc4,1427661_a_at
Pi4k2b,1416489_at
Exosc7,1448365_at
LOC100047810 /// Tmed6,1416490_at
Numbl,1416491_at
Ccne1,1416492_at
Ddost,1416493_at
Ndufs5,1416495_s_at
Sdf4,1426393_a_at
Mrfap1,1416496_at
Pdia4,1416497_at
Ppic,1416498_at
Dctn6,1416499_a_at
Sacm1l,1416500_at
Pdpk1,1416501_at
Lxn,1416503_at
Nfkb1,1427705_a_at
Ulk1,1448370_at
Nr4a1,1416505_at
Mylpf,1448371_at
Psma6,1416506_at
Mrpl18,1448373_at
Med28,1448374_at
Tm9sf3,1460186_at
Mrpl4,1416510_at
Nubp2,1416512_at
Lamb2,1416513_at
Slpi,1448377_at
